#TremblGeneID	Database_ID	E_value	Identity	Score	Annotation
T1_Unigene_BMK.44712	tr|F2DPY0|F2DPY0_HORVD	1e-33	63/69(91.30)	119	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.44746	tr|M0VSC9|M0VSC9_HORVD	1e-102	138/149(92.62)	278	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.44946	tr|G9DR71|G9DR71_WHEAT	1e-180	243/243(100.00)	501	R2R3-MYB protein OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.45214	tr|M0YWR7|M0YWR7_HORVD	4e-35	65/71(91.55)	123	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.45292	tr|F2E8I3|F2E8I3_HORVD	5e-70	107/120(89.17)	214	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.45587	tr|I1HK51|I1HK51_BRADI	6e-40	91/152(59.87)	139	Uncharacterized protein GN=BRADI2G27680 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.45729	tr|F2CWG0|F2CWG0_HORVD	0.0	340/367(92.64)	693	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.45736	tr|M0UNT3|M0UNT3_HORVD	2e-07	31/55(56.36)	52.8	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.46085	tr|M0VD07|M0VD07_HORVD	3e-80	121/124(97.58)	242	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.46240	tr|I1H6P3|I1H6P3_BRADI	1e-17	43/78(55.13)	77.8	Uncharacterized protein GN=BRADI1G65830 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.46264	tr|F2ECD6|F2ECD6_HORVD	0.0	396/488(81.15)	788	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.46664	tr|K9L8D5|K9L8D5_MAIZE	1e-56	78/135(57.78)	197	Proline and lysine rich protein GN=plr354b OS=Zea mays (Maize) PE=2 SV=1
T1_Unigene_BMK.46893	tr|F2DIW6|F2DIW6_HORVD	1e-176	268/313(85.62)	501	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.46922	tr|F2D4X6|F2D4X6_HORVD	3e-92	138/161(85.71)	280	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.47039	tr|F1DPS1|F1DPS1_WHEAT	0.0	286/321(89.10)	571	Early salt-stress induced 2-2 GN=Esi2 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.47053	tr|F2DI17|F2DI17_HORVD	2e-08	29/42(69.05)	55.1	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.47154	tr|I1HL22|I1HL22_BRADI	6e-68	107/140(76.43)	209	Uncharacterized protein GN=BRADI2G33170 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.47384	tr|M0XKV0|M0XKV0_HORVD	1e-110	154/163(94.48)	316	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.47487	tr|F2E5S6|F2E5S6_HORVD	1e-104	159/214(74.30)	313	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.47711	tr|J3MY58|J3MY58_ORYBR	4e-40	64/80(80.00)	137	Uncharacterized protein GN=OB09G19370 OS=Oryza brachyantha PE=4 SV=1
T1_Unigene_BMK.47786	tr|A6XMZ3|A6XMZ3_TRIMO	1e-101	140/141(99.29)	293	1-aminocyclopropane-1-carboxylate oxidase (Fragment) OS=Triticum monococcum (Einkorn wheat) PE=2 SV=1
T1_Unigene_BMK.47832	tr|K4AIE4|K4AIE4_SETIT	1e-103	164/215(76.28)	311	Uncharacterized protein GN=Si038656m.g OS=Setaria italica (Foxtail millet) PE=4 SV=1
T1_Unigene_BMK.47843	tr|M0WJK0|M0WJK0_HORVD	1e-102	157/162(96.91)	301	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.47950	tr|Q401N6|Q401N6_WHEAT	1e-107	158/167(94.61)	322	Aspartic proteinase GN=WAP2 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.47964	tr|I1INV2|I1INV2_BRADI	1e-112	173/301(57.48)	352	Uncharacterized protein GN=BRADI4G26620 OS=Brachypodium distachyon (Purple false brome) PE=3 SV=1
T1_Unigene_BMK.48006	tr|F2DAE5|F2DAE5_HORVD	1e-113	161/181(88.95)	328	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.48036	tr|Q5NE29|Q5NE29_WHEAT	4e-76	117/122(95.90)	231	Non-specific lipid-transfer protein (Precursor) GN=ltp9.4 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.48089	tr|F2D1K9|F2D1K9_HORVD	5e-87	117/119(98.32)	257	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.48139	tr|C0HG69|C0HG69_MAIZE	3e-49	74/95(77.89)	159	Uncharacterized protein GN=ZEAMMB73_661487 OS=Zea mays (Maize) PE=2 SV=1
T1_Unigene_BMK.48228	tr|F2EC87|F2EC87_HORVD	1e-133	191/257(74.32)	385	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.48233	tr|F2CRG2|F2CRG2_HORVD	1e-160	239/307(77.85)	455	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.48264	tr|F2DS48|F2DS48_HORVD	0.0	317/346(91.62)	624	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.48267	tr|F2D837|F2D837_HORVD	9e-74	111/152(73.03)	230	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.48507	tr|Q8H0B8|Q8H0B8_WHEAT	1e-121	165/165(100.00)	346	Cold regulated protein GN=Wcor18 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.48508	tr|I1GWL4|I1GWL4_BRADI	1e-20	45/58(77.59)	92.0	Uncharacterized protein GN=BRADI1G33950 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.48510	tr|Q5Z4U8|Q5Z4U8_ORYSJ	1e-54	117/192(60.94)	181	Putative uncharacterized protein P0545E05.31-1 GN=P0545E05.31-1 OS=Oryza sativa subsp. japonica (Rice) PE=4 SV=1
T1_Unigene_BMK.48531	tr|Q8RW00|Q8RW00_WHEAT	1e-177	243/243(100.00)	498	Glutathione transferase GN=gstu3 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.48722	tr|M0YJX1|M0YJX1_HORVD	0.0	357/376(94.95)	696	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.48933	tr|D2XV80|D2XV80_HORVD	1e-108	162/171(94.74)	317	Universal stress protein 9303 OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.48944	tr|F2EIY5|F2EIY5_HORVD	3e-63	95/104(91.35)	197	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.49256	tr|M0YLU3|M0YLU3_HORVD	6e-68	102/118(86.44)	208	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.49269	tr|F2DBN6|F2DBN6_HORVD	1e-109	165/182(90.66)	318	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.49301	tr|D8TXH5|D8TXH5_VOLCA	9e-12	44/80(55.00)	67.8	Putative uncharacterized protein GN=VOLCADRAFT_91594 OS=Volvox carteri (Green alga) PE=4 SV=1
T1_Unigene_BMK.49337	tr|F2DC79|F2DC79_HORVD	0.0	269/289(93.08)	544	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.49423	tr|I1IB18|I1IB18_BRADI	9e-47	78/104(75.00)	155	Uncharacterized protein GN=BRADI3G47290 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.49515	tr|F2DI94|F2DI94_HORVD	0.0	391/568(68.84)	760	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.49535	tr|M0V014|M0V014_HORVD	3e-72	106/117(90.60)	222	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.49580	tr|J7RA16|J7RA16_HORVU	1e-129	189/189(100.00)	374	Putative general amino acid permease (Fragment) GN=HvAAP6 OS=Hordeum vulgare (Barley) PE=2 SV=1
T1_Unigene_BMK.49726	tr|F2DBN8|F2DBN8_HORVD	1e-119	180/208(86.54)	347	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.49755	tr|D2XV77|D2XV77_HORVD	1e-108	165/196(84.18)	316	Universal stress protein 1561 OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.49828	tr|I1I4D6|I1I4D6_BRADI	1e-113	160/191(83.77)	330	Uncharacterized protein GN=BRADI3G27807 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.49937	tr|F2DTT3|F2DTT3_HORVD	2e-98	141/152(92.76)	295	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.49997	tr|Q5QMG1|Q5QMG1_ORYSJ	1e-22	52/91(57.14)	94.4	Putative uncharacterized protein P0506B12.8 GN=P0506B12.8 OS=Oryza sativa subsp. japonica (Rice) PE=4 SV=1
T1_Unigene_BMK.50479	tr|M0V2U1|M0V2U1_HORVD	1e-101	147/158(93.04)	301	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.50483	tr|A1IVM0|A1IVM0_TRIDB	7e-79	122/151(80.79)	240	Dehydrin 1 GN=DHN15.1 OS=Triticum durum (Durum wheat) PE=2 SV=1
T1_Unigene_BMK.50536	tr|F2CUG8|F2CUG8_HORVD	0.0	371/397(93.45)	756	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.50621	tr|M0VST5|M0VST5_HORVD	1e-160	225/231(97.40)	452	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.50651	tr|F2DAV1|F2DAV1_HORVD	6e-58	106/142(74.65)	194	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.50845	tr|F2DY46|F2DY46_HORVD	1e-134	203/222(91.44)	387	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.50879	tr|M0V0K7|M0V0K7_HORVD	1e-60	92/110(83.64)	189	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51005	tr|Q0PMR8|Q0PMR8_TRIDB	1e-120	160/161(99.38)	347	Putative E2 SUMO conjugating enzyme GN=10D10 OS=Triticum durum (Durum wheat) PE=2 SV=1
T1_Unigene_BMK.51031	tr|M0VGD6|M0VGD6_HORVD	1e-64	88/113(77.88)	155	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51149	tr|F2CZ63|F2CZ63_HORVD	2e-58	91/113(80.53)	184	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51156	tr|F2EBL3|F2EBL3_HORVD	1e-87	140/237(59.07)	268	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.51176	tr|F2DSQ9|F2DSQ9_HORVD	3e-53	83/90(92.22)	172	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51235	tr|F2E0Y6|F2E0Y6_HORVD	1e-106	164/187(87.70)	310	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.51294	tr|I1GSA5|I1GSA5_BRADI	0.0	261/314(83.12)	530	Uncharacterized protein GN=BRADI1G21300 OS=Brachypodium distachyon (Purple false brome) PE=3 SV=1
T1_Unigene_BMK.51307	tr|F2ECN7|F2ECN7_HORVD	5e-60	91/92(98.91)	190	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51376	tr|F2CSG6|F2CSG6_HORVD	1e-108	159/172(92.44)	315	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.51543	tr|I1HBB3|I1HBB3_BRADI	3e-78	127/190(66.84)	244	Uncharacterized protein GN=BRADI2G01050 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.51585	tr|M0UNP9|M0UNP9_HORVD	4e-66	99/109(90.83)	205	Uncharacterized protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51622	tr|F2D5W1|F2D5W1_HORVD	1e-95	147/153(96.08)	302	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.51675	tr|M0UIR3|M0UIR3_HORVD	9e-73	106/110(96.36)	221	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51680	tr|I1H4M7|I1H4M7_BRADI	2e-31	92/200(46.00)	122	Uncharacterized protein GN=BRADI1G60060 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.51798	tr|F2E3R1|F2E3R1_HORVD	1e-96	141/160(88.12)	288	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.51806	tr|M1GL46|M1GL46_TRIDB	1e-112	159/162(98.15)	333	Secretory phospholipase A2 GN=sPLA2III OS=Triticum durum (Durum wheat) PE=2 SV=1
T1_Unigene_BMK.51853	tr|F2DPW5|F2DPW5_HORVD	0.0	709/785(90.32)	1384	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.51951	tr|M0ULR8|M0ULR8_HORVD	1e-110	149/156(95.51)	322	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51956	tr|F2DUE5|F2DUE5_HORVD	0.0	293/314(93.31)	557	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.52023	tr|F2D426|F2D426_HORVD	1e-143	211/223(94.62)	405	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.52088	tr|M0XXR9|M0XXR9_HORVD	1e-126	187/205(91.22)	363	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.52198	tr|M0VXZ0|M0VXZ0_HORVD	0.0	560/580(96.55)	1107	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.52307	tr|M0VCX5|M0VCX5_HORVD	1e-153	216/232(93.10)	432	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.52326	tr|M0VDD7|M0VDD7_HORVD	1e-104	154/159(96.86)	311	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.52453	tr|F2DIR5|F2DIR5_HORVD	1e-143	225/287(78.40)	413	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.52532	tr|F2E306|F2E306_HORVD	2e-89	138/140(98.57)	267	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.52617	tr|F2D7C6|F2D7C6_HORVD	0.0	304/314(96.82)	605	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.52747	tr|M0ZC13|M0ZC13_HORVD	0.0	393/595(66.05)	742	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.52792	tr|M0VPD4|M0VPD4_HORVD	2e-74	111/117(94.87)	227	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.52893	tr|F2CT02|F2CT02_HORVD	1e-164	241/245(98.37)	466	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.52928	tr|F2D961|F2D961_HORVD	3e-83	130/137(94.89)	265	Lipoxygenase OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.53015	tr|Q84U27|Q84U27_HORVU	0.0	411/414(99.28)	826	Cytokinin dehydrogenase 3 OS=Hordeum vulgare (Barley) PE=2 SV=1
T1_Unigene_BMK.53020	tr|F2E0M2|F2E0M2_HORVD	0.0	312/336(92.86)	630	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.53030	tr|F2D7N2|F2D7N2_HORVD	5e-24	41/45(91.11)	96.3	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.53061	tr|F2CS75|F2CS75_HORVD	0.0	457/465(98.28)	900	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.53079	tr|E9M5R5|E9M5R5_WHEAT	0.0	332/340(97.65)	678	Nitrilase OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.53145	tr|M0V1L7|M0V1L7_HORVD	1e-164	234/262(89.31)	466	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.53152	tr|F2D4G5|F2D4G5_HORVD	1e-75	119/120(99.17)	232	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.53155	tr|M0YJ05|M0YJ05_HORVD	0.0	290/312(92.95)	573	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.53296	tr|Q6Z8R3|Q6Z8R3_ORYSJ	2e-76	127/164(77.44)	234	cDNA clone:002-167-H02, full insert sequence GN=P0708B04.12 OS=Oryza sativa subsp. japonica (Rice) PE=2 SV=1
T1_Unigene_BMK.53300	tr|F2EBQ1|F2EBQ1_HORVD	1e-109	172/205(83.90)	325	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.53358	tr|M0VP06|M0VP06_HORVD	1e-77	123/132(93.18)	237	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.53450	tr|F2ELS7|F2ELS7_HORVD	0.0	355/368(96.47)	712	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.53476	tr|M0YKL5|M0YKL5_HORVD	1e-109	165/206(80.10)	319	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.53682	tr|M0YGU1|M0YGU1_HORVD	1e-174	238/246(96.75)	496	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.53685	tr|F2D4K4|F2D4K4_HORVD	0.0	471/525(89.71)	971	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.53691	tr|F2CYM4|F2CYM4_HORVD	1e-127	177/183(96.72)	367	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.53747	tr|F2DIA2|F2DIA2_HORVD	1e-148	194/196(98.98)	419	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.53847	tr|M0UNI8|M0UNI8_HORVD	1e-135	214/251(85.26)	390	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.54028	tr|M0VSA1|M0VSA1_HORVD	1e-153	215/222(96.85)	435	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.54106	tr|F2DXR4|F2DXR4_HORVD	1e-118	158/179(88.27)	343	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.54160	tr|K3XGI5|K3XGI5_SETIT	0.0	291/394(73.86)	567	Uncharacterized protein GN=Si001005m.g OS=Setaria italica (Foxtail millet) PE=4 SV=1
T1_Unigene_BMK.54222	tr|F2DN55|F2DN55_HORVD	0.0	331/346(95.66)	653	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.54378	tr|I1I4R1|I1I4R1_BRADI	1e-139	201/207(97.10)	400	Uncharacterized protein GN=BRADI3G28900 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
