#TremblGeneID	Database_ID	E_value	Identity	Score	Annotation
T1_Unigene_BMK.51543	tr|I1HBB3|I1HBB3_BRADI	3e-78	127/190(66.84)	244	Uncharacterized protein GN=BRADI2G01050 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.51562	tr|F2EGW3|F2EGW3_HORVD	6e-59	104/116(89.66)	189	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.51585	tr|M0UNP9|M0UNP9_HORVD	4e-66	99/109(90.83)	205	Uncharacterized protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51637	tr|M0Z0Z8|M0Z0Z8_HORVD	1e-134	199/205(97.07)	388	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51662	tr|F2CXK3|F2CXK3_HORVD	0.0	240/266(90.23)	507	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.51675	tr|M0UIR3|M0UIR3_HORVD	9e-73	106/110(96.36)	221	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51716	tr|F2D074|F2D074_HORVD	1e-175	246/255(96.47)	493	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.51819	tr|M0WL76|M0WL76_HORVD	1e-129	184/191(96.34)	370	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.51853	tr|F2DPW5|F2DPW5_HORVD	0.0	709/785(90.32)	1384	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.51900	tr|I1PU03|I1PU03_ORYGL	1e-127	184/220(83.64)	369	Uncharacterized protein OS=Oryza glaberrima (African rice) PE=4 SV=1
T1_Unigene_BMK.52465	tr|F2D5L5|F2D5L5_HORVD	1e-170	239/247(96.76)	486	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.52596	tr|M0W110|M0W110_HORVD	3e-98	162/227(71.37)	301	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.52612	tr|F2EJ82|F2EJ82_HORVD	1e-176	282/468(60.26)	510	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.52824	tr|F2D8P8|F2D8P8_HORVD	1e-166	236/284(83.10)	472	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.52844	tr|M0WSW2|M0WSW2_HORVD	2e-58	102/115(88.70)	189	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.52927	tr|M0YLZ6|M0YLZ6_HORVD	4e-54	83/88(94.32)	177	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.52928	tr|F2D961|F2D961_HORVD	3e-83	130/137(94.89)	265	Lipoxygenase OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.53019	tr|M0XHU2|M0XHU2_HORVD	1e-132	181/196(92.35)	377	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.53056	tr|M0VIB8|M0VIB8_HORVD	1e-163	193/199(96.98)	390	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.53079	tr|E9M5R5|E9M5R5_WHEAT	0.0	332/340(97.65)	678	Nitrilase OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.53201	tr|F2DFW7|F2DFW7_HORVD	1e-79	114/121(94.21)	239	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.53225	tr|I1H2J1|I1H2J1_BRADI	1e-121	173/202(85.64)	352	Uncharacterized protein GN=BRADI1G53710 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.53449	tr|M0YM01|M0YM01_HORVD	1e-109	149/149(100.00)	317	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.53536	tr|M0XW09|M0XW09_HORVD	1e-113	155/163(95.09)	330	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.53587	tr|F2CUH3|F2CUH3_HORVD	0.0	269/286(94.06)	537	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.53862	tr|F2E361|F2E361_HORVD	0.0	349/370(94.32)	706	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.53934	tr|M0WFB1|M0WFB1_HORVD	0.0	381/399(95.49)	738	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.54226	tr|F2EDQ3|F2EDQ3_HORVD	0.0	352/371(94.88)	726	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.54239	tr|F2DAW3|F2DAW3_HORVD	1e-112	163/165(98.79)	325	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.54378	tr|I1I4R1|I1I4R1_BRADI	1e-139	201/207(97.10)	400	Uncharacterized protein GN=BRADI3G28900 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.54449	tr|F2ECQ4|F2ECQ4_HORVD	9e-34	65/71(91.55)	125	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.54532	tr|I1H0X8|I1H0X8_BRADI	2e-93	136/149(91.28)	281	Uncharacterized protein GN=BRADI1G49010 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.54533	tr|M0X7P1|M0X7P1_HORVD	3e-49	73/73(100.00)	163	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.54534	tr|M0X7P0|M0X7P0_HORVD	3e-97	135/140(96.43)	281	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.54745	tr|Q0IRF0|Q0IRF0_ORYSJ	7e-52	120/246(48.78)	174	Os11g0641300 protein GN=Os11g0641300 OS=Oryza sativa subsp. japonica (Rice) PE=2 SV=1
T1_Unigene_BMK.54787	tr|F2CZM5|F2CZM5_HORVD	0.0	310/338(91.72)	661	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.54803	tr|F2CSP8|F2CSP8_HORVD	0.0	479/555(86.31)	952	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.54813	tr|F2E3L2|F2E3L2_HORVD	1e-103	156/181(86.19)	301	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.54948	tr|M0UIS5|M0UIS5_HORVD	0.0	346/351(98.58)	679	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.55165	tr|M0V8J0|M0V8J0_HORVD	0.0	354/368(96.20)	698	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.55275	tr|F2E463|F2E463_HORVD	1e-112	170/185(91.89)	326	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.55301	tr|M0Y7U1|M0Y7U1_HORVD	0.0	452/477(94.76)	921	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.55481	tr|F2DID9|F2DID9_HORVD	0.0	599/632(94.78)	1250	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.55771	tr|F2DID2|F2DID2_HORVD	0.0	319/335(95.22)	649	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.55818	tr|F2D089|F2D089_HORVD	1e-154	211/216(97.69)	436	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.55848	tr|F2D2K5|F2D2K5_HORVD	1e-102	152/176(86.36)	302	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.55865	tr|I1GS60|I1GS60_BRADI	0.0	308/366(84.15)	619	Uncharacterized protein GN=BRADI1G20870 OS=Brachypodium distachyon (Purple false brome) PE=4 SV=1
T1_Unigene_BMK.55974	tr|F2CYV3|F2CYV3_HORVD	0.0	364/379(96.04)	712	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.56043	tr|M0WTA6|M0WTA6_HORVD	1e-124	177/183(96.72)	360	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.56408	tr|F2CV50|F2CV50_HORVD	1e-177	244/287(85.02)	499	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.56552	tr|F2DUL4|F2DUL4_HORVD	0.0	597/619(96.45)	1129	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.56554	tr|M0Y818|M0Y818_HORVD	0.0	470/472(99.58)	949	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.56576	tr|G8GWG5|G8GWG5_WHEAT	1e-150	206/208(99.04)	433	MYB13-3 OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.56578	tr|J3MBJ7|J3MBJ7_ORYBR	1e-160	228/295(77.29)	455	Uncharacterized protein GN=OB06G13910 OS=Oryza brachyantha PE=4 SV=1
T1_Unigene_BMK.56670	tr|M0XV15|M0XV15_HORVD	1e-145	205/222(92.34)	417	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.56775	tr|F2CZC4|F2CZC4_HORVD	1e-180	252/272(92.65)	506	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.56815	tr|M0WPR9|M0WPR9_HORVD	1e-134	193/218(88.53)	386	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.57303	tr|M0XID4|M0XID4_HORVD	1e-151	215/233(92.27)	434	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.57321	tr|F2E069|F2E069_HORVD	0.0	353/363(97.25)	737	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.57499	tr|F2E360|F2E360_HORVD	0.0	489/500(97.80)	980	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.57519	tr|M0VYF0|M0VYF0_HORVD	0.0	430/435(98.85)	857	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.57547	tr|M0ZE97|M0ZE97_HORVD	0.0	324/347(93.37)	628	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.57549	tr|F2DLE6|F2DLE6_HORVD	1e-142	171/182(93.96)	402	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.57600	tr|F2CS07|F2CS07_HORVD	1e-62	104/122(85.25)	206	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.58062	tr|M0YWT6|M0YWT6_HORVD	0.0	384/425(90.35)	810	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.58067	tr|F2DL19|F2DL19_HORVD	7e-62	98/110(89.09)	199	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.58073	tr|M0WHP4|M0WHP4_HORVD	0.0	289/313(92.33)	580	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.58183	tr|F2EDJ4|F2EDJ4_HORVD	0.0	463/601(77.04)	889	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.58438	tr|A9LIN4|A9LIN4_WHEAT	0.0	482/484(99.59)	967	Malic enzyme OS=Triticum aestivum (Wheat) PE=2 SV=1
T1_Unigene_BMK.58588	tr|F2CSN7|F2CSN7_HORVD	0.0	354/371(95.42)	700	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.58785	tr|F2CR94|F2CR94_HORVD	0.0	614/632(97.15)	1283	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.58786	tr|M0UHV3|M0UHV3_HORVD	0.0	313/330(94.85)	622	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.58796	tr|F2CPU0|F2CPU0_HORVD	0.0	456/492(92.68)	916	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.58960	tr|M0Z9L7|M0Z9L7_HORVD	1e-151	210/224(93.75)	429	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.58968	tr|F2DUD1|F2DUD1_HORVD	0.0	384/419(91.65)	785	Predicted protein (Fragment) OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.59021	tr|F2EG84|F2EG84_HORVD	1e-179	184/205(89.76)	365	Predicted protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
T1_Unigene_BMK.59126	tr|Q711Q3|Q711Q3_HORVU	0.0	328/344(95.35)	704	Cathepsin B GN=cathB OS=Hordeum vulgare (Barley) PE=2 SV=1
T1_Unigene_BMK.59278	tr|M0YJE5|M0YJE5_HORVD	0.0	418/429(97.44)	814	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=4 SV=1
T1_Unigene_BMK.59315	tr|F2D0F6|F2D0F6_HORVD	0.0	229/238(96.22)	461	Uncharacterized protein OS=Hordeum vulgare var. distichum (Two-rowed barley) PE=2 SV=1
